sentence,label,source,length,clean_sentence,clean_length,preprocessed
Lousy product.,0,amazon,2,lousy product,2,lousy product
They refuse to refund or replace.,0,amazon,6,refuse refund replace,3,refuse refund replace
It wasn't busy at all and now we know why.,0,yelp,10,wasnt busy know,3,wasnt busy know
Great pork sandwich.,1,yelp,3,great pork sandwich,3,great pork sandwich
BT50 battery junk!.,0,amazon,3,bt50 battery junk,3,bt50 battery junk
"Perhaps my phone is defective, but people cannot hear me when I use this.",0,amazon,14,perhaps phone defective people cannot hear use,7,perhaps phone defective people cannot hear use
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0,imdb,31,totally unfunny movie top pathetic unrealistic throughout whole 90 minutes utter torture probably looked watch 70000 times,17,totally unfunny movie top pathetic unrealistic throughout whole 90 minutes utter torture probably looked watch 70000 times
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0,imdb,26,lewis blacks considerable talent wasted incendiary unrestrained pg13 rating certainly wont allow,12,lewis blacks considerable talent wasted incendiary unrestrained pg13 rating certainly wont allow
did not like at all.,0,yelp,5,like,1,like
There is a totally unnecessary train/roller coaster scene.  ,0,imdb,8,totally unnecessary trainroller coaster scene,5,totally unnecessary trainroller coaster scene
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,amazon,18,feels comfortable headsets wear glasses gets way sometimes,8,feels comfortable headsets wear glasses gets way sometimes
I hate those things as much as cheap quality black olives.,0,yelp,11,hate things much cheap quality black olives,7,hate things much cheap quality black olives
My fella got the huevos rancheros and they didn't look too appealing.,0,yelp,12,fella got huevos rancheros didnt look appealing,7,fella got huevos rancheros didnt look appealing
say bye bye to your tip lady!,0,yelp,7,say bye bye tip lady,5,say bye bye tip lady
Talk about USELESS customer service.,0,amazon,5,talk useless customer service,4,talk useless customer service
"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  ",1,imdb,34,performances real gripping crocdodile extremely well done indeed black water website believed thats used real crocs swamp location fabulous,19,performances real gripping crocdodile extremely well done indeed black water website believed thats used real crocs swamp location fabulous
Worst software ever used.... If I could give this zero stars I would.,0,amazon,13,worst software ever used could give zero stars would,9,worst software ever used could give zero stars would
We definately enjoyed ourselves.,1,yelp,4,definately enjoyed,2,definately enjoyed
The rest of the cast also play well.  ,1,imdb,8,rest cast also play well,5,rest cast also play well
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1,amazon,19,great new packaged nice works good problems came less time expected,11,great new packaged nice works good problems came less time expected
Horrible!  ,0,imdb,1,horrible,1,horrible
"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0,imdb,20,convoluted plot didnt convince much film watched weird questioning glance,10,convoluted plot didnt convince much film watched weird questioning glance
"The service was terrible, food was mediocre.",0,yelp,7,service terrible food mediocre,4,service terrible food mediocre
All of the tapas dishes were delicious!,1,yelp,7,tapas dishes delicious,3,tapas dishes delicious
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,yelp,26,far sushi connoisseur definitely tell difference good food bad food certainly bad food,13,far sushi connoisseur definitely tell difference good food bad food certainly bad food
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,yelp,21,staff always super friendly helpful especially cool bring two small boys baby,12,staff always super friendly helpful especially cool bring two small boys baby
None of them are engaging or exciting.  ,0,imdb,7,none engaging exciting,3,none engaging exciting
I'll give this film 10 out of 10!  ,1,imdb,8,ill give film 10 10,5,ill give film 10 10
The price was very good and with the free shipping and all it was a good purchase.,1,amazon,17,price good free shipping good purchase,6,price good free shipping good purchase
Setup went very smoothly.,1,amazon,4,setup went smoothly,3,setup went smoothly
Mobile Phone Tools are a must have.,1,amazon,7,mobile phone tools must,4,mobile phone tools must
This place is awesome if you want something light and healthy during the summer.,1,yelp,14,place awesome want something light healthy summer,7,place awesome want something light healthy summer
Excellent Phone.,1,amazon,2,excellent phone,2,excellent phone
It is PERFECT for a sit-down family meal or get together with a few friends.,1,yelp,15,perfect sitdown family meal get together friends,7,perfect sitdown family meal get together friends
Very happy with this product.,1,amazon,5,happy product,2,happy product
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,yelp,15,first glance lovely bakery cafe nice ambiance clean friendly staff,10,first glance lovely bakery cafe nice ambiance clean friendly staff
add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,1,imdb,19,add betty white jean smart great cast everyone played parts really well,12,add betty white jean smart great cast everyone played parts really well
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",1,imdb,19,emily watsons character strong give quick glance understand everything,9,emily watsons character strong give quick glance understand everything
Poor quality.,0,amazon,2,poor quality,2,poor quality
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",1,imdb,14,spoilers whatever else cant said surface superbly crafted,8,spoilers whatever else cant said surface superbly crafted
It's a great place and I highly recommend it.,1,yelp,9,great place highly recommend,4,great place highly recommend
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,yelp,21,bars vegas ever recall charged tap water,7,bars vegas ever recall charged tap water
There are some generally great things in it.  ,1,imdb,8,generally great things,3,generally great things
It is very comfortable on the ear.,1,amazon,7,comfortable ear,2,comfortable ear
Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,0,imdb,14,watching washing machine twirling around wouldnt hurt eyes much show,10,watching washing machine twirling around wouldnt hurt eyes much show
Overall I rate this movie a 10 out of a 1-10 scale.  ,1,imdb,12,overall rate movie 10 110 scale,6,overall rate movie 10 110 scale
"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1,imdb,23,watch however small consolations actresses playing annes sisters wonderful job roles,11,watch however small consolations actresses playing annes sisters wonderful job roles
":-)Oh, the charger seems to work fine.",1,amazon,7,oh charger seems work fine,5,oh charger seems work fine
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0,imdb,36,yes simplifying things sake brevity really core problems film much going without real fulfilling explanation,15,yes simplifying things sake brevity really core problems film much going without real fulfilling explanation
We walked away stuffed and happy about our first Vegas buffet experience.,1,yelp,12,walked away stuffed happy first vegas buffet experience,8,walked away stuffed happy first vegas buffet experience
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,yelp,14,wonderful lil tapas ambience made feel warm fuzzy inside,9,wonderful lil tapas ambience made feel warm fuzzy inside
It just blew.  ,0,imdb,3,blew,1,blew
Great product for the price!.,1,amazon,5,great product price,3,great product price
How awful she is!  ,0,imdb,4,awful,1,awful
"Overall, the film is interesting and thought-provoking.  ",1,imdb,7,overall film interesting thoughtprovoking,4,overall film interesting thoughtprovoking
-Drinks took close to 30 minutes to come out at one point.,0,yelp,12,drinks took close 30 minutes come one point,8,drinks took close 30 minutes come one point
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,amazon,21,easy turn car volume controls quite accessable,7,easy turn car volume controls quite accessable
Design Flaw?.,0,amazon,2,design flaw,2,design flaw
How stupid is that?,0,amazon,4,stupid,1,stupid
"Provides good protection and looks classy, too.",1,amazon,7,provides good protection looks classy,5,provides good protection looks classy
Bland and flavorless is a good way of describing the barely tepid meat.,0,yelp,13,bland flavorless good way describing barely tepid meat,8,bland flavorless good way describing barely tepid meat
"Looks great and is strong.""",1,amazon,5,looks great strong,3,looks great strong
"Obviously they have a terrible customer service, so you get what you pay for.",0,amazon,14,obviously terrible customer service get pay,6,obviously terrible customer service get pay
Buy a different phone - but not this.,0,amazon,8,buy different phone,3,buy different phone
"When it opens, the battery connection is broken and the device is turned off.",0,amazon,14,opens battery connection broken device turned,6,opens battery connection broken device turned
I highly recommend this device to everyone!,1,amazon,7,highly recommend device everyone,4,highly recommend device everyone
The cinematography-if it can be called that-sucked.  ,0,imdb,7,cinematographyif called thatsucked,3,cinematographyif called thatsucked
"Host staff were, for lack of a better word, BITCHES!",0,yelp,10,host staff lack better word bitches,6,host staff lack better word bitches
I wasn't really impressed with Strip Steak.,0,yelp,7,wasnt really impressed strip steak,5,wasnt really impressed strip steak
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,yelp,16,outstanding little restaurant best food ever tasted,7,outstanding little restaurant best food ever tasted
"It was either too cold, not enough flavor or just bad.",0,yelp,11,either cold enough flavor bad,5,either cold enough flavor bad
I paid too much.  ,0,imdb,4,paid much,2,paid much
"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",0,imdb,24,another thing didnt really like character got punched face gallon blood would spew forth soon,15,another thing didnt really like character got punched face gallon blood would spew forth soon
"It was extremely ""crumby"" and pretty tasteless.",0,yelp,7,extremely crumby pretty tasteless,4,extremely crumby pretty tasteless
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0,yelp,21,ambiance feel like buffet setting douchey indoor garden tea biscuits,10,ambiance feel like buffet setting douchey indoor garden tea biscuits
You won't be disappointed.,1,yelp,4,wont disappointed,2,wont disappointed
camera color balance is AWFUL.,0,amazon,5,camera color balance awful,4,camera color balance awful
"Yeah, the movie pretty much sucked.  ",0,imdb,6,yeah movie pretty much sucked,5,yeah movie pretty much sucked
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,amazon,20,really like product motorola allot clearer ear piece mic,9,really like product motorola allot clearer ear piece mic
Food was great and so was the serivce!,1,yelp,8,food great serivce,3,food great serivce
Avoid at all cost!,0,yelp,4,avoid cost,2,avoid cost
I promise they won't disappoint.,1,yelp,5,promise wont disappoint,3,promise wont disappoint
Works great!.,1,amazon,2,works great,2,works great
Razr Battery - Good buy.,1,amazon,5,razr battery good buy,4,razr battery good buy
After receiving and using the product for just 2 days it broke.,0,amazon,12,receiving using product 2 days broke,6,receiving using product 2 days broke
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,yelp,32,good going review place twice hereas tribute place tribute event held last night,13,good going review place twice hereas tribute place tribute event held last night
Not good by any stretch of the imagination.,0,yelp,8,good stretch imagination,3,good stretch imagination
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0,imdb,20,plot holes pair fishnet stockings direction editing astonishingly ham fisted,10,plot holes pair fishnet stockings direction editing astonishingly ham fisted
The Malta settings are as dry and as barren as the dialogue.  ,0,imdb,12,malta settings dry barren dialogue,5,malta settings dry barren dialogue
I would not recommend this place.,0,yelp,6,would recommend place,3,would recommend place
"But I recommend waiting for their future efforts, let this one go.  ",0,imdb,12,recommend waiting future efforts let one go,7,recommend waiting future efforts let one go
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1,amazon,17,works fine motorola 325 cellphone lot better wornout battery,9,works fine motorola 325 cellphone lot better wornout battery
The warm beer didn't help.,0,yelp,5,warm beer didnt help,4,warm beer didnt help
Integrated seamlessly with the Motorola RAZR phone.,1,amazon,7,integrated seamlessly motorola razr phone,5,integrated seamlessly motorola razr phone
Very much disappointed with this company.,0,amazon,6,much disappointed company,3,much disappointed company
you can watch them preparing the delicious food!),1,yelp,8,watch preparing delicious food,4,watch preparing delicious food
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,yelp,8,chips sals amazing,3,chips sals amazing
My friend loved the salmon tartar.,1,yelp,6,friend loved salmon tartar,4,friend loved salmon tartar
The worst piece of crap ever along with the Verizon customer service.,0,amazon,12,worst piece crap ever along verizon customer service,8,worst piece crap ever along verizon customer service
TOTAL WASTE OF TIME.,0,yelp,4,total waste time,3,total waste time
The update procedure is difficult and cumbersome.,0,amazon,7,update procedure difficult cumbersome,4,update procedure difficult cumbersome
Could not get strong enough signal.,0,amazon,6,could get strong enough signal,5,could get strong enough signal
There aren't death scenes like in previous movies and the f/x are terrible.  ,0,imdb,13,arent death scenes like previous movies fx terrible,8,arent death scenes like previous movies fx terrible
Battery has no life.,0,amazon,4,battery life,2,battery life
Stay Away From the Q!.,0,amazon,5,stay away q,3,stay away q
I'm returning them.,0,amazon,3,im returning,2,im returning
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,amazon,28,case best part download pictures laptop using ir even send pictures laptop phone,13,case best part download pictures laptop using ir even send pictures laptop phone
THERE IS NO PLOT OR STORYLINE!!  ,0,imdb,6,plot storyline,2,plot storyline
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,amazon,25,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,13,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg
Sauce was tasteless.,0,yelp,3,sauce tasteless,2,sauce tasteless
the phone was unusable and was not new.,0,amazon,8,phone unusable new,3,phone unusable new
The nachos are a MUST HAVE!,1,yelp,6,nachos must,2,nachos must
The headset fulfills my requirements so I am happy with my purchase.,1,amazon,12,headset fulfills requirements happy purchase,5,headset fulfills requirements happy purchase
Highly unprofessional and rude to a loyal patron!,0,yelp,8,highly unprofessional rude loyal patron,5,highly unprofessional rude loyal patron
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,yelp,23,places eat circumstances would ever return tops list,8,places eat circumstances would ever return tops list
"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,yelp,15,could barely stomach meal didnt complain business lunch,8,could barely stomach meal didnt complain business lunch
"She is as lovely as usual, this cutie!  ",1,imdb,8,lovely usual cutie,3,lovely usual cutie
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1,amazon,22,posted detailed comments grey black phone fire red great color,10,posted detailed comments grey black phone fire red great color
What a mistake that was!,0,yelp,5,mistake,1,mistake
"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",0,imdb,53,acting involved includes like shatner nimoy bad washed making seem old look real life special effects tacky like spock rescue kirk jet pack falls mountain,25,acting involved includes like shatner nimoy bad washed making seem old look real life special effects tacky like spock rescue kirk jet pack falls mountain
"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",0,imdb,16,lets start problemsthe acting especially lead professor bad,8,lets start problemsthe acting especially lead professor bad
It didn't charge for me.,0,amazon,5,didnt charge,2,didnt charge
Avoid this one if you can.,0,amazon,6,avoid one,2,avoid one
Love this headset!,1,amazon,3,love headset,2,love headset
None of the three sizes they sent with the headset would stay in my ears.,0,amazon,15,none three sizes sent headset would stay ears,8,none three sizes sent headset would stay ears
So there is no way for me to plug it in here in the US unless I go by a converter.,0,amazon,21,way plug us unless go converter,6,way plug us unless go converter
The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,0,imdb,20,awful dialogue hopeless overacting everyone gets shot top real waste space time,12,awful dialogue hopeless overacting everyone gets shot top real waste space time
"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",1,imdb,19,one favourite directors one talented directors history cinema,8,one favourite directors one talented directors history cinema
Best tater tots in the southwest.,1,yelp,6,best tater tots southwest,4,best tater tots southwest
"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1,imdb,20,feelings thoughtsgabriels discomfort danceall intangibles leap life come within viewers grasp hustons portrayal,13,feelings thoughtsgabriels discomfort danceall intangibles leap life come within viewers grasp hustons portrayal
AMAZON SUCKS.,0,amazon,2,amazon sucks,2,amazon sucks
"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",0,imdb,29,rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc,13,rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc
"For those that haven't seen it, don't waste your time!  ",0,imdb,10,havent seen dont waste time,5,havent seen dont waste time
Con: spotty service.,0,yelp,3,con spotty service,3,con spotty service
I had to go to a store and bought a new NOKIA phone which is working great.,1,amazon,17,go store bought new nokia phone working great,8,go store bought new nokia phone working great
What I really like there is the crepe station.,1,yelp,9,really like crepe station,4,really like crepe station
This is a VERY average phone with bad battery life that operates on a weak network.,0,amazon,16,average phone bad battery life operates weak network,8,average phone bad battery life operates weak network
Does not fit.,0,amazon,3,fit,1,fit
Very bad Experience!,0,yelp,3,bad experience,2,bad experience
Seriously killer hot chai latte.,1,yelp,5,seriously killer hot chai latte,5,seriously killer hot chai latte
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,amazon,19,everything worked first trythe device certainly engineered clever way construction feels good,12,everything worked first trythe device certainly engineered clever way construction feels good
The nano stated it.My son was dissapointed.,0,amazon,7,nano stated itmy son dissapointed,5,nano stated itmy son dissapointed
Echo Problem....Very unsatisfactory,0,amazon,3,echo problemvery unsatisfactory,3,echo problemvery unsatisfactory
I hate movies like that.  ,0,imdb,5,hate movies like,3,hate movies like
"stay away from this store, be careful.",0,amazon,7,stay away store careful,4,stay away store careful
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,yelp,29,paying 785 hot dog fries looks like came kids meal wienerschnitzel idea good meal,14,paying 785 hot dog fries looks like came kids meal wienerschnitzel idea good meal
The shipping time was also very quick!,1,amazon,7,shipping time also quick,4,shipping time also quick
Sending it back.,0,amazon,3,sending back,2,sending back
Works as described.,1,amazon,3,works described,2,works described
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,yelp,14,try airport experience tasty food speedy friendly service,8,try airport experience tasty food speedy friendly service
"This movie is so mind-bendingly awful, it couldn't have even been created.  ",0,imdb,12,movie mindbendingly awful couldnt even created,6,movie mindbendingly awful couldnt even created
You never know if you pushed it hard enough or the right number of times for the function you want or not.,0,amazon,22,never know pushed hard enough right number times function want,10,never know pushed hard enough right number times function want
Their chow mein is so good!,1,yelp,6,chow mein good,3,chow mein good
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1,amazon,15,ive trouble accessing internet downloading ringtones performing functions,8,ive trouble accessing internet downloading ringtones performing functions
"I searched the Internet, and found this one to be the best value.",1,amazon,13,searched internet found one best value,6,searched internet found one best value
"Regardless, the film fails on most levels.  ",0,imdb,7,regardless film fails levels,4,regardless film fails levels
Non-linear narration thus many flashbacks and every part are articulated quite well.  ,1,imdb,12,nonlinear narration thus many flashbacks every part articulated quite well,10,nonlinear narration thus many flashbacks every part articulated quite well
The plantains were the worst I've ever tasted.,0,yelp,8,plantains worst ive ever tasted,5,plantains worst ive ever tasted
All in all I think it was a good investment.,1,amazon,10,think good investment,3,think good investment
The movie I received was a great quality film for it's age.  ,1,imdb,12,movie received great quality film age,6,movie received great quality film age
I love the look and feel of Samsung flipphones.,1,amazon,9,love look feel samsung flipphones,5,love look feel samsung flipphones
It's like a bad two hour TV movie.  ,0,imdb,8,like bad two hour tv movie,6,like bad two hour tv movie
Good transmit audio.,1,amazon,3,good transmit audio,3,good transmit audio
Don't trust their website and don't expect any helpful support.,0,amazon,10,dont trust website dont expect helpful support,7,dont trust website dont expect helpful support
"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  ",1,imdb,18,showed exactly government scientist argued humanity reasons gadget,8,showed exactly government scientist argued humanity reasons gadget
"Of course, the acting is blah.  ",0,imdb,6,course acting blah,3,course acting blah
The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  ,1,imdb,20,interplay martin emilio contains wonderful chemistry saw wall street martin charlie,11,interplay martin emilio contains wonderful chemistry saw wall street martin charlie
The dialogue sucked.  ,0,imdb,3,dialogue sucked,2,dialogue sucked
The plastic breaks really easy on this clip.,0,amazon,8,plastic breaks really easy clip,5,plastic breaks really easy clip
"The microphone also works well, but (according to people I have called) it applifies everything.",1,amazon,15,microphone also works well according people called applifies everything,9,microphone also works well according people called applifies everything
"I cannot believe that the actors agreed to do this ""film"".  ",0,imdb,11,cannot believe actors agreed film,5,cannot believe actors agreed film
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,yelp,17,kept looking time soon become 35 minutes yet still food,10,kept looking time soon become 35 minutes yet still food
"All in all, a great disappointment.  ",0,imdb,6,great disappointment,2,great disappointment
The kids play area is NASTY!,0,yelp,6,kids play area nasty,4,kids play area nasty
It is not good.  ,0,imdb,4,good,1,good
"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  ",1,imdb,25,result powerhouse achievement made timely perhaps cultures disturbing fascination celebrity distorted interpretations fame,13,result powerhouse achievement made timely perhaps cultures disturbing fascination celebrity distorted interpretations fame
What a waste.,0,amazon,3,waste,1,waste
I'm happy about this purchase- good quality and low price.,1,amazon,10,im happy purchase good quality low price,7,im happy purchase good quality low price
Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,0,imdb,27,lot holes plot theres nothing became emperor nothing spend 20 years childhood mature age,14,lot holes plot theres nothing became emperor nothing spend 20 years childhood mature age
"It never condescends, all the characters have good genuine hearts and believable problems.  ",1,imdb,13,never condescends characters good genuine hearts believable problems,8,never condescends characters good genuine hearts believable problems
Just reading on the specs alone makes you say WOW.,1,amazon,10,reading specs alone makes say wow,6,reading specs alone makes say wow
Worst food/service I've had in a while.,0,yelp,7,worst foodservice ive,3,worst foodservice ive
Headset works great & was packaged nicely to avoid any damage.,1,amazon,11,headset works great packaged nicely avoid damage,7,headset works great packaged nicely avoid damage
"I won't spoil it, but the ending in pretty amazing.  ",1,imdb,10,wont spoil ending pretty amazing,5,wont spoil ending pretty amazing
This place has a lot of promise but fails to deliver.,0,yelp,11,place lot promise fails deliver,5,place lot promise fails deliver
"Went in for happy hour, great list of wines.",1,yelp,9,went happy hour great list wines,6,went happy hour great list wines
The jerky camera movements were also annoying.  ,0,imdb,7,jerky camera movements also annoying,5,jerky camera movements also annoying
I love this place.,1,yelp,4,love place,2,love place
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0,imdb,15,chilly unremarkable movie author livingworking chilly abstruse culture,8,chilly unremarkable movie author livingworking chilly abstruse culture
Good Quality.,1,amazon,2,good quality,2,good quality
Doesn't hold charge.,0,amazon,3,doesnt hold charge,3,doesnt hold charge
It's pretty easy.,1,amazon,3,pretty easy,2,pretty easy
Disappointing accessory from a good manufacturer.,0,amazon,6,disappointing accessory good manufacturer,4,disappointing accessory good manufacturer
"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",0,imdb,21,sum film breeders terrible cheaply made horror movie avoided like ebola virus,12,sum film breeders terrible cheaply made horror movie avoided like ebola virus
Honeslty it didn't taste THAT fresh.),0,yelp,6,honeslty didnt taste fresh,4,honeslty didnt taste fresh
"But this movie is not funny, considering the ridiculousness of it.  ",0,imdb,11,movie funny considering ridiculousness,4,movie funny considering ridiculousness
The entire audience applauded at the conclusion of the film.  ,1,imdb,10,entire audience applauded conclusion film,5,entire audience applauded conclusion film
"It features an outlandish array of memorable, psychotic but lovable nuts.  ",1,imdb,11,features outlandish array memorable psychotic lovable nuts,7,features outlandish array memorable psychotic lovable nuts
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,amazon,15,arguing verizon regarding dropped calls returned phones two days,9,arguing verizon regarding dropped calls returned phones two days
"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",0,imdb,38,many continuity errors one user commented different cars garage joes glassesthe one got fact joes facial hair configuration seemed change scene scene,22,many continuity errors one user commented different cars garage joes glassesthe one got fact joes facial hair configuration seemed change scene scene
""" The structure of this film is easily the most tightly constructed in the history of cinema.  ",1,imdb,17,structure film easily tightly constructed history cinema,7,structure film easily tightly constructed history cinema
This frog phone charm is adorable and very eye catching.,1,amazon,10,frog phone charm adorable eye catching,6,frog phone charm adorable eye catching
I could not stand to even watch it for very long for fear of losing I.Q.  ,0,imdb,16,could stand even watch long fear losing iq,8,could stand even watch long fear losing iq
The one down note is the ventilation could use some upgrading.,0,yelp,11,one note ventilation could use upgrading,6,one note ventilation could use upgrading
Good audio quality.,1,amazon,3,good audio quality,3,good audio quality
Not enough volume.,0,amazon,3,enough volume,2,enough volume
Restored my phone to like new performance.,1,amazon,7,restored phone like new performance,5,restored phone like new performance
A bit predictable.  ,0,imdb,3,bit predictable,2,bit predictable
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,yelp,18,ordered albondigas soup warm tasted like tomato soup frozen meatballs,10,ordered albondigas soup warm tasted like tomato soup frozen meatballs
"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,yelp,13,bit sweet really spicy enough lacked flavor,7,bit sweet really spicy enough lacked flavor
DO NOT PURCHASE THIS PHONE.,0,amazon,5,purchase phone,2,purchase phone
Excellent product.,1,amazon,2,excellent product,2,excellent product
Everyone is treated equally special.,1,yelp,5,everyone treated equally special,4,everyone treated equally special
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,amazon,12,purchased within 2 days longer working,6,purchased within 2 days longer working
Reasonably priced also!,1,yelp,3,reasonably priced also,3,reasonably priced also
Today is the second time I've been to their lunch buffet and it was pretty good.,1,yelp,16,today second time ive lunch buffet pretty good,8,today second time ive lunch buffet pretty good
There is simply no excuse for something this poorly done.  ,0,imdb,10,simply excuse something poorly done,5,simply excuse something poorly done
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1,imdb,23,one movies need see whenever comes tvnever mind fact already memorized,11,one movies need see whenever comes tvnever mind fact already memorized
Food was really boring.,0,yelp,4,food really boring,3,food really boring
And his subtle connections between the three films are awesome.  ,1,imdb,10,subtle connections three films awesome,5,subtle connections three films awesome
"This was my first crawfish experience, and it was delicious!",1,yelp,10,first crawfish experience delicious,4,first crawfish experience delicious
The acting was bad.  ,0,imdb,4,acting bad,2,acting bad
It's a long time since I was so entertained by a movie.  ,1,imdb,12,long time since entertained movie,5,long time since entertained movie
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,1,imdb,21,memories murky say enjoyed every single episode product related show,10,memories murky say enjoyed every single episode product related show
Final Word: This Show is a real torture!!  ,0,imdb,8,final word show real torture,5,final word show real torture
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1,amazon,22,shifting bubbling peeling even scratch nothingi couldnt happier new one droid,11,shifting bubbling peeling even scratch nothingi couldnt happier new one droid
"I have this phone and it is a thorn in my side, I really abhor it.",0,amazon,16,phone thorn side really abhor,5,phone thorn side really abhor
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,imdb,33,looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,17,looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try
The staff are also very friendly and efficient.,1,yelp,8,staff also friendly efficient,4,staff also friendly efficient
"""You'll love it!  ",1,imdb,3,youll love,2,youll love
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,yelp,17,wife hated meal coconut shrimp friends really enjoy meals either,10,wife hated meal coconut shrimp friends really enjoy meals either
Simply beautiful.  ,1,imdb,2,simply beautiful,2,simply beautiful
"Some applause should be given to the ""prelude"" however.  ",1,imdb,9,applause given prelude however,4,applause given prelude however
"The ending is so, SO perfect... you'll shed a tear.  ",1,imdb,10,ending perfect youll shed tear,5,ending perfect youll shed tear
