sentence,clean_sentence,label,source,length,clean_length
$50 Down the drain.,50 drain,0,amazon,4,2
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,tried talking real loud shouting telephone gets old still told wasnt great,0,amazon,20,12
"Good , works fine.",good works fine,1,amazon,4,3
For the price this was a great deal.,price great deal,1,amazon,8,3
"Great price, too!",great price,1,amazon,3,2
"If there is a wind, it is completely useless.",wind completely useless,0,amazon,9,3
Yes it's shiny on front side - and I love it!,yes shiny front side love,1,amazon,11,5
Does Not Work.,work,0,amazon,3,1
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",first thought grtting good deal 744 plugged phone v3c razr,0,amazon,21,10
The reception through this headset is excellent.,reception headset excellent,1,amazon,7,3
2 thumbs up to this seller,2 thumbs seller,1,amazon,6,3
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",verizon lg phone work well together good reception range exceeds 20 feet line sight,1,amazon,22,14
Improper description.... I had to return it.,improper description return,0,amazon,7,3
#1 It Works - #2 It is Comfortable.,works comfortable,1,amazon,8,2
Battery charge-life is quite long.,battery chargelife quite long,1,amazon,5,4
The Jabra EarGels fit my ears very well.,jabra eargels fit ears well,1,amazon,8,5
Battery has no life.,battery life,0,amazon,4,2
I checked everywhere and there is no feature for it which is really disappointing.,checked everywhere feature really disappointing,0,amazon,14,5
Product is exactly as described.,product exactly described,1,amazon,5,3
Gets a signal when other Verizon phones won't.,gets signal verizon phones wont,1,amazon,8,5
Doesn't do the job.,doesnt job,0,amazon,4,2
I would recommend it.,would recommend,1,amazon,4,2
Plan on ordering from them again and again.,plan ordering,1,amazon,8,2
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",said phone camera nice many cool effects play video decent well,1,amazon,23,11
I have been very satisfied with this cell phone from day one.,satisfied cell phone day one,1,amazon,12,5
They keep getting better and better (this is my third one and I've had numerous Palms too).,keep getting better better third one ive numerous palms,1,amazon,17,9
Awkward to use and unreliable.,awkward use unreliable,0,amazon,5,3
The shipping time was also very quick!,shipping time also quick,1,amazon,7,4
Not as good as I had hoped.,good hoped,0,amazon,7,2
Good case!.,good case,1,amazon,2,2
Doesn't Work.,doesnt work,0,amazon,2,2
Really good product.,really good product,1,amazon,3,3
Unfortunately it did not work.,unfortunately work,0,amazon,5,2
All three broke within two months of use.,three broke within two months use,0,amazon,8,6
dont buy it.,dont buy,0,amazon,3,2
"My father has the V265, and the battery is dying.",father v265 battery dying,0,amazon,10,4
"However, the ear pads come off easily and after only one week I lost one.",however ear pads come easily one week lost one,0,amazon,15,9
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",calls drop phone comes screen goes black worst stops ringing intermittently,0,amazon,24,11
"Horrible, horrible protector.",horrible horrible protector,0,amazon,3,3
I don't like this Nokia either.,dont like nokia either,0,amazon,6,4
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",reaching bottom row uncomfortable send end keys expect be3,0,amazon,21,9
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,bought nokia cell phone weeks ago nightmare,0,amazon,16,7
It would take too long to describe how bad my customer service experience has been with Amazon.,would take long describe bad customer service experience amazon,0,amazon,17,9
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,disappointing thing speakerphone,0,amazon,10,3
Terrible.. My car will not accept this cassette.,terrible car accept cassette,0,amazon,8,4
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",product useless since enough charging current charge 2 cellphones planning use,0,amazon,23,11
It's not what it says it is.,says,0,amazon,7,1
Stay Away From the Q!.,stay away q,0,amazon,5,3
Used and dirty.,used dirty,0,amazon,3,2
Very unreliable service from T-mobile !,unreliable service tmobile,0,amazon,6,3
Not good enough for the price.,good enough price,0,amazon,6,3
I bought two of them and neither will charge.,bought two neither charge,0,amazon,9,4
It looks very nice.,looks nice,1,amazon,4,2
"This is an excellent tool, especially when paired with your phone's auto-answer.",excellent tool especially paired phones autoanswer,1,amazon,12,6
I have read other's reviews here but I haven't had any problem with it.,read others reviews havent problem,1,amazon,14,5
These products cover up the important light sensor above the ear outlet.,products cover important light sensor ear outlet,0,amazon,12,7
Comfortable in my hand.,comfortable hand,1,amazon,4,2
Just does not work.,work,0,amazon,4,1
Poor Reliability.,poor reliability,0,amazon,2,2
(It works!),works,1,amazon,2,1
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",take picture battery drops bar starts beeping letting know dieing,0,amazon,18,10
"Terrible product, and waste of money!",terrible product waste money,0,amazon,6,4
Last time buying from you.,last time buying,0,amazon,5,3
It was a waste of my money.,waste money,0,amazon,7,2
So far it has worked like a charm.,far worked like charm,1,amazon,8,4
"I have only had it for a few weeks, but so far, so good.",weeks far good,1,amazon,14,3
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",case best part download pictures laptop using ir even send pictures laptop phone,1,amazon,28,13
Would recommend this item.,would recommend item,1,amazon,4,3
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,choice headset yearsgreat sound good volume good noise cancellation,1,amazon,13,9
"Nice case, feels good in your hands.",nice case feels good hands,1,amazon,7,5
The item received was Counterfeit.,item received counterfeit,0,amazon,5,3
"Just really good.. So far, probably the best BT headset I have ever had.",really good far probably best bt headset ever,1,amazon,14,8
Works fine.,works fine,1,amazon,2,2
I received my headset in good time and was happy with it.,received headset good time happy,1,amazon,12,5
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,pleased see could replace well travled swivel holster blackberry flip,1,amazon,19,10
My sister has one also and she loves it.,sister one also loves,1,amazon,9,4
Good Quality.,good quality,1,amazon,2,2
This is by far the worst purchase I've made on Amazon.,far worst purchase ive made amazon,0,amazon,11,6
Excellent dual-purpose headset.,excellent dualpurpose headset,1,amazon,3,3
Excellent!.,excellent,1,amazon,1,1
Does not work for listening to music with the cingular 8125.,work listening music cingular 8125,0,amazon,11,5
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",seems completely secure holding belt keeping iphone inside,1,amazon,15,8
"The bottowm line...another worthless, cheap gimmick from Sprint.",bottowm lineanother worthless cheap gimmick sprint,0,amazon,8,6
Having trouble with volume.,trouble volume,0,amazon,4,2
The only good thing was that it fits comfortably on small ears.,good thing fits comfortably small ears,1,amazon,12,6
WARNING - DO NOT BUY!!.,warning buy,0,amazon,5,2
"I am pairing this with my iphone, and I could not be happier with it so far.",pairing iphone could happier far,1,amazon,17,5
"When it opens, the battery connection is broken and the device is turned off.",opens battery connection broken device turned,0,amazon,14,6
"I didn't want the clip going over the top of my ear, causing discomfort.",didnt want clip going top ear causing discomfort,0,amazon,14,8
Best headset ever!!!.,best headset ever,1,amazon,3,3
Don't trust their website and don't expect any helpful support.,dont trust website dont expect helpful support,0,amazon,10,7
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,loudglad say plantronics 510 maintains flawless connection cell static normal use,1,amazon,24,11
The speaker is of low quality so as making the ring tones sound very cheap.,speaker low quality making ring tones sound cheap,0,amazon,15,8
"Fits comfortably, came with three sizes of earbud tips.",fits comfortably came three sizes earbud tips,1,amazon,9,7
Excellent product for the price.,excellent product price,1,amazon,5,3
Bad Reception.,bad reception,0,amazon,2,2
This product is very High quality Chinese CRAP!!!!!!,product high quality chinese crap,0,amazon,8,5
It was quite comfortable in the ear.,quite comfortable ear,1,amazon,7,3
Great phone.,great phone,1,amazon,2,2
Don't buy this product - It fails!.,dont buy product fails,0,amazon,7,4
Everything about this product is wrong.First,everything product wrongfirst,0,amazon,6,3
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,pairing two devices easy barely took couple minutes started making calls voice dialing feature,1,amazon,25,14
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",utterly confusing first caused lose couple important contacts,0,amazon,18,8
Terrible phone holder.,terrible phone holder,0,amazon,3,3
The cutouts and buttons are placed perfectly.,cutouts buttons placed perfectly,1,amazon,7,4
I love being able to use one headset for both by land-line and cell.,love able use one headset landline cell,1,amazon,14,7
Problem is that the ear loops are made of weak material and break easily.,problem ear loops made weak material break easily,0,amazon,14,8
Not nearly as good looking as the AMAZON picture makes it look.,nearly good looking amazon picture makes look,0,amazon,12,7
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",despite flaws case exceptional quality well worth additional costs owning official oem product,1,amazon,23,13
How stupid is that?,stupid,0,amazon,4,1
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",hear im driving car usually dont even put loudest setting,1,amazon,21,10
Seller shipped quickly and much cheaper than the competitors.,seller shipped quickly much cheaper competitors,1,amazon,9,6
"Good show, Samsung.",good show samsung,1,amazon,3,3
So I bought about 10 of these and saved alot of money.,bought 10 saved alot money,1,amazon,12,5
It always cuts out and makes a beep beep beep sound then says signal failed.,always cuts makes beep beep beep sound says signal failed,0,amazon,15,10
Couldn't figure it out,couldnt figure,0,amazon,4,2
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",phone sounded ok great ok wifes phone almost totally unintelligible couldnt understand word said,0,amazon,26,14
So I had to take the battery out of the phone put it all back together and then restart it.,take battery phone put back together restart,0,amazon,20,7
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",managed bend leaf spring back place metal enough stress break next drop,0,amazon,25,12
Leopard Print is wonderfully wild!.,leopard print wonderfully wild,1,amazon,5,4
Works for me.,works,1,amazon,3,1
"Saggy, floppy piece of junk.",saggy floppy piece junk,0,amazon,5,4
much better than the hard plastic cases.,much better hard plastic cases,1,amazon,7,5
It also had a new problem.,also new problem,0,amazon,6,3
Happy so far!.,happy far,1,amazon,3,2
cool phone.,cool phone,1,amazon,2,2
Works good.,works good,1,amazon,2,2
Motorola finally got the voice quality of a bluetooth headset right.,motorola finally got voice quality bluetooth headset right,1,amazon,11,8
It looses connection to the phone even when it is within a couple feet between the two.,looses connection phone even within couple feet two,0,amazon,17,8
"but it is great, i would really recommend it",great would really recommend,1,amazon,9,4
Makes it easier to keep up with my bluetooth when I'm not wearing it.,makes easier keep bluetooth im wearing,0,amazon,14,6
As I said above....PRETTY USELESS!,said abovepretty useless,0,amazon,5,3
Never got it!!!!!,never got,0,amazon,3,2
This pair of headphones is the worst that I have ever had sound-wise.,pair headphones worst ever soundwise,0,amazon,13,5
[...] down the drain because of a weak snap!,drain weak snap,0,amazon,9,3
Does not charge the Cingular (ATT) 8525 phone.,charge cingular att 8525 phone,0,amazon,8,5
"You get extra minutes so that you can carry out the call and not get cut off.""",get extra minutes carry call get cut,1,amazon,17,7
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",however year fliptop started get loose wobbly eventually screen went black couldnt receive place calls,0,amazon,26,15
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,kept catching cable seat pull phone turn,0,amazon,22,7
The headset fulfills my requirements so I am happy with my purchase.,headset fulfills requirements happy purchase,1,amazon,12,5
Logitech Bluetooth Headset is a 10!.,logitech bluetooth headset 10,1,amazon,6,4
"I like the fact that it rests lightly against your ear, rather than inside.",like fact rests lightly ear rather inside,1,amazon,14,7
A lot of websites have been rating this a very good phone and so do I.,lot websites rating good phone,1,amazon,16,5
I have tried these cables with my computer and my iPod and it works just fine.,tried cables computer ipod works fine,1,amazon,16,6
"The mic there is a joke, and the volume is quite low.",mic joke volume quite low,0,amazon,12,5
I'm returning them.,im returning,0,amazon,3,2
I does not maintain a connection with the computer while it is on my lap.,maintain connection computer lap,0,amazon,15,4
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,easy turn car volume controls quite accessable,1,amazon,21,7
I have had mine for about a year and this Christmas I bought some for the rest of the family.,mine year christmas bought rest family,1,amazon,20,6
"Otherwise, easy to install and use, clear sound.",otherwise easy install use clear sound,1,amazon,8,6
nice leather.,nice leather,1,amazon,2,2
I had to purchase a different case.,purchase different case,0,amazon,7,3
It is a joy to use.,joy use,1,amazon,6,2
Very much disappointed with this company.,much disappointed company,0,amazon,6,3
Very satisifed with that.,satisifed,1,amazon,4,1
It didn't charge for me.,didnt charge,0,amazon,5,2
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,phone get 2005 bought s710a say wow,1,amazon,20,7
Buttons are too small.,buttons small,0,amazon,4,2
Just reading on the specs alone makes you say WOW.,reading specs alone makes say wow,1,amazon,10,6
Love it.. Great armband.,love great armband,1,amazon,4,3
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,really like product motorola allot clearer ear piece mic,1,amazon,20,9
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",however keypads tinny sometimes reach wrong buttons,0,amazon,13,7
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,exchanged sony ericson z500a im pretty happy decision,1,amazon,15,8
I was very impressed with the price of the cases.,impressed price cases,1,amazon,10,3
Also makes it easier to hold on to.,also makes easier hold,1,amazon,8,4
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",use product motor control center lot high voltage humming equipment works great,1,amazon,25,12
It's pretty easy.,pretty easy,1,amazon,3,2
I cannot make calls at certain places.,cannot make calls certain places,0,amazon,7,5
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",however girl complain time phone doesnt wake like normal phone,0,amazon,17,10
Beautiful styling though.,beautiful styling though,1,amazon,3,3
This company charge me a restocking fee and still not given me my refund back.,company charge restocking fee still given refund back,0,amazon,15,8
I'm trying to return it for a refund.,im trying return refund,0,amazon,8,4
I plugged it in only to find out not a darn thing worked.,plugged find darn thing worked,0,amazon,13,5
Excellent product.,excellent product,1,amazon,2,2
Earbud piece breaks easily.,earbud piece breaks easily,0,amazon,4,4
Lousy product.,lousy product,0,amazon,2,2
This phone tries very hard to do everything but fails at it's very ability to be a phone.,phone tries hard everything fails ability phone,0,amazon,18,7
It is the best charger I have seen on the market yet.,best charger seen market yet,1,amazon,12,5
SWEETEST PHONE!!!,sweetest phone,1,amazon,2,2
":-)Oh, the charger seems to work fine.",oh charger seems work fine,1,amazon,7,5
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,fits securely ear hook even need used sound better directed ear canal,1,amazon,25,12
Not enough volume.,enough volume,0,amazon,3,2
Echo Problem....Very unsatisfactory,echo problemvery unsatisfactory,0,amazon,3,3
you could only take 2 videos at a time and the quality was very poor.,could take 2 videos time quality poor,0,amazon,15,7
don't waste your money.,dont waste money,0,amazon,4,3
I am going to have to be the first to negatively review this product.,going first negatively review product,0,amazon,14,5
Adapter does not provide enough charging current.,adapter provide enough charging current,0,amazon,7,5
"There was so much hype over this phone that I assumed it was the best, my mistake.",much hype phone assumed best mistake,0,amazon,17,6
You also cannot take pictures with it in the case because the lense is covered.,also cannot take pictures case lense covered,0,amazon,15,7
Phone falls out easily.,phone falls easily,0,amazon,4,3
"It didn't work, people can not hear me when I talk.",didnt work people hear talk,0,amazon,11,5
The text messaging feature is really tricky to use.,text messaging feature really tricky use,0,amazon,9,6
I'm really disappointed all I have now is a charger that doesn't work.,im really disappointed charger doesnt work,0,amazon,13,6
Painful on the ear.,painful ear,0,amazon,4,2
Lasted one day and then blew up.,lasted one day blew,0,amazon,7,4
disappointed.,disappointed,0,amazon,1,1
Kind of flops around.,kind flops around,0,amazon,4,3
The screen does get smudged easily because it touches your ear and face.,screen get smudged easily touches ear face,0,amazon,13,7
What a piece of junk.. I lose more calls on this phone.,piece junk lose calls phone,0,amazon,12,5
Item Does Not Match Picture.,item match picture,0,amazon,5,3
The only thing that disappoint me is the infra red port (irda).,thing disappoint infra red port irda,0,amazon,12,6
"You can not answer calls with the unit, never worked once!",answer calls unit never worked,0,amazon,11,5
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",slowmoving aimless movie distressed drifting young man,0,imdb,13,7
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",sure lost flat characters audience nearly half walked,0,imdb,19,8
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost nonexistent,0,imdb,31,18
Very little music or anything to speak of.  ,little music anything speak,0,imdb,8,4
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,best scene movie gerardo trying find song keeps running head,1,imdb,21,10
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",rest movie lacks art charm meaning emptiness works guess empty,0,imdb,20,10
Wasted two hours.  ,wasted two hours,0,imdb,3,3
"Saw the movie today and thought it was a good effort, good messages for kids.  ",saw movie today thought good effort good messages kids,1,imdb,15,9
A bit predictable.  ,bit predictable,0,imdb,3,2
Loved the casting of Jimmy Buffet as the science teacher.  ,loved casting jimmy buffet science teacher,1,imdb,10,6
And those baby owls were adorable.  ,baby owls adorable,1,imdb,6,3
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",movie showed lot florida best made look appealing,1,imdb,15,8
The Songs Were The Best And The Muppets Were So Hilarious.  ,songs best muppets hilarious,1,imdb,11,4
It Was So Cool.  ,cool,1,imdb,4,1
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",right case movie delivers everything almost right face,1,imdb,16,8
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",average acting main person low budget clearly see,0,imdb,20,8
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",review long overdue since consider tale two sisters single greatest film ever made,1,imdb,21,13
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",ill put gem movie terms screenplay cinematography acting postproduction editing directing aspect filmmaking,1,imdb,23,13
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",practically perfect  true masterpiece sea faux masterpieces,1,imdb,17,8
""" The structure of this film is easily the most tightly constructed in the history of cinema.  ",structure film easily tightly constructed history cinema,1,imdb,17,7
I can think of no other film where something vitally important occurs every other minute.  ,think film something vitally important occurs every minute,1,imdb,15,8
"In other words, the content level of this film is enough to easily fill a dozen other films.  ",words content level film enough easily fill dozen films,1,imdb,18,9
How can anyone in their right mind ask for anything more from a movie than this?  ,anyone right mind ask anything movie,1,imdb,16,6
"It's quite simply the highest, most superlative form of cinema imaginable.  ",quite simply highest superlative form cinema imaginable,1,imdb,11,7
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture,1,imdb,21,13
This short film certainly pulls no punches.  ,short film certainly pulls punches,0,imdb,7,5
Graphics is far from the best part of the game.  ,graphics far best part game,0,imdb,10,5
This is the number one best TH game in the series.  ,number one best th game series,1,imdb,11,6
It deserves strong love.  ,deserves strong love,1,imdb,4,3
It is an insane game.  ,insane game,1,imdb,5,2
"There are massive levels, massive unlockable characters... it's just a massive game.  ",massive levels massive unlockable characters massive game,1,imdb,12,7
Waste your money on this game.  ,waste money game,1,imdb,6,3
This is the kind of money that is wasted properly.  ,kind money wasted properly,1,imdb,10,4
"Actually, the graphics were good at the time.  ",actually graphics good time,1,imdb,8,4
Today the graphics are crap.  ,today graphics crap,0,imdb,5,3
"As they say in Canada, This is the fun game, aye.  ",say canada fun game aye,1,imdb,11,5
This game rocks.  ,game rocks,1,imdb,3,2
"Buy it, play it, enjoy it, love it.  ",buy play enjoy love,1,imdb,8,4
It's PURE BRILLIANCE.  ,pure brilliance,1,imdb,3,2
This was a flick doomed from its conception.  ,flick doomed conception,0,imdb,8,3
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",idea lame take minor character mediocre pg13 film make complete nonsequel changing tone pgrated family movie,0,imdb,31,16
I wasn't the least bit interested.  ,wasnt least bit interested,0,imdb,6,4
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer,0,imdb,41,22
But it's just not funny.  ,funny,0,imdb,5,1
But even the talented Carrell can't save this.  ,even talented carrell cant save,0,imdb,8,5
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",costars dont fare much better people like morgan freeman jonah hill ed helms wasted,0,imdb,18,14
The story itself is just predictable and lazy.  ,story predictable lazy,0,imdb,8,3
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen,0,imdb,33,14
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",whatever cost much didnt translate quality thats sure,0,imdb,17,8
"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",film succeeds despite perhaps obviously meagre budget,1,imdb,12,7
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",im glad film didnt go obvious choice lesser film certainly would,1,imdb,18,11
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen,1,imdb,27,17
It's hard not to fall head-over-heels in love with that girl.  ,hard fall headoverheels love girl,1,imdb,11,5
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",negative insipid enough cause regret another 2 hours life wasted front screen,0,imdb,21,12
"Long, whiny and pointless.  ",long whiny pointless,0,imdb,4,3
"But I recommend waiting for their future efforts, let this one go.  ",recommend waiting future efforts let one go,0,imdb,12,7
"Excellent cast, story line, performances.  ",excellent cast story line performances,1,imdb,5,5
Totally believable.  ,totally believable,1,imdb,2,2
Anne Heche was utterly convincing.  ,anne heche utterly convincing,1,imdb,5,4
Sam Shepard's portrayal of a gung ho Marine was sobering.  ,sam shepards portrayal gung ho marine sobering,1,imdb,10,7
I sat riveted to the TV screen.  ,sat riveted tv screen,1,imdb,7,4
All in all I give this one a resounding 9 out of 10.  ,give one resounding 9 10,1,imdb,13,5
I do think Tom Hanks is a good actor.  ,think tom hanks good actor,1,imdb,9,5
I enjoyed reading this book to my children when they were little.  ,enjoyed reading book children little,1,imdb,12,5
I was very disappointed in the movie.  ,disappointed movie,0,imdb,7,2
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,one character totally annoying voice gives feeling fingernails chalkboard,0,imdb,18,9
There is a totally unnecessary train/roller coaster scene.  ,totally unnecessary trainroller coaster scene,0,imdb,8,5
There was absolutely no warmth or charm to these scenes or characters.  ,absolutely warmth charm scenes characters,0,imdb,12,5
This movie totally grates on my nerves.  ,movie totally grates nerves,0,imdb,7,4
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",performances improved improvisation actors twice much worry whether theyre delivering line well whether line good,0,imdb,34,15
"And, quite honestly, often its not very good.  ",quite honestly often good,0,imdb,8,4
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",often dialogue doesnt really follow one line another fit surroundings,0,imdb,15,10
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly,0,imdb,23,11
There are some generally great things in it.  ,generally great things,1,imdb,8,3
"I wouldn't say they're worth 2 hours of your time, though.  ",wouldnt say theyre worth 2 hours time though,0,imdb,11,8
"The suspense builders were good, & just cross the line from G to PG.  ",suspense builders good cross line g pg,1,imdb,14,7
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections,1,imdb,27,15
"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",want movie thats gross gives chills great choice,1,imdb,18,8
Alexander Nevsky is a great film.  ,alexander nevsky great film,1,imdb,6,4
"He is an amazing film artist, one of the most important whoever lived.  ",amazing film artist one important whoever lived,1,imdb,13,7
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",im glad pretentious piece didnt planned dodge stratus big shots gonna help movie makers arent restrained movie business québec,0,imdb,32,19
This if the first movie I've given a 10 to in years.  ,first movie ive given 10 years,1,imdb,12,6
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",ever movie needed wordofmouth promote,1,imdb,14,5
"Overall, the film is interesting and thought-provoking.  ",overall film interesting thoughtprovoking,1,imdb,7,4
"Plus, it was well-paced and suited its relatively short run time.  ",plus wellpaced suited relatively short run time,1,imdb,11,7
Give this one a look.  ,give one look,1,imdb,5,3
I gave it a 10  ,gave 10,1,imdb,5,2
The Wind and the Lion is well written and superbly acted.  ,wind lion well written superbly acted,1,imdb,11,6
It is a true classic.  ,true classic,1,imdb,5,2
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,actually turned pretty decent far blist horrorsuspense films go,1,imdb,15,9
Definitely worth checking out.  ,definitely worth checking,1,imdb,4,3
The problem was the script.  ,problem script,0,imdb,5,2
It was horrendous.  ,horrendous,0,imdb,3,1
There was NOTHING believable about it at all.  ,nothing believable,0,imdb,8,2
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,suspense feeling frustration retarded girls,0,imdb,16,5
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,manna heaven terrific film predictable unpredictable time,1,imdb,17,7
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,scenes often funny occasionally touching characters evaluate lives going,1,imdb,19,9
The cast of veteran actors are more than just a nostalgia trip.  ,cast veteran actors nostalgia trip,1,imdb,12,5
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,ursula burtons portrayal nun touching funny time making fun nuns church,1,imdb,24,11
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,1,imdb,33,17
I don't think you will be disappointed.  ,dont think disappointed,1,imdb,7,3
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0,imdb,23,11
"The acting was bad, the dialogs were extremely shallow and insincere.  ",acting bad dialogs extremely shallow insincere,0,imdb,11,6
"It was too predictable, even for a chick flick.  ",predictable even chick flick,0,imdb,9,4
Too politically correct.  ,politically correct,0,imdb,3,2
Very disappointing.  ,disappointing,0,imdb,2,1
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",thing really worth watching scenery house beautiful,1,imdb,16,7
"I love Lane, but I've never seen her in a movie this lousy.  ",love lane ive never seen movie lousy,0,imdb,13,7
An hour and a half I wish I could bring back.  ,hour half wish could bring back,0,imdb,11,6
But in terms of the writing it's very fresh and bold.  ,terms writing fresh bold,1,imdb,11,4
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",acting helps writing along well maybe idiotsavant sister could played better real joy watch,1,imdb,25,14
The directing and the cinematography aren't quite as good.  ,directing cinematography arent quite good,0,imdb,9,5
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,0,imdb,25,13
"), and sometimes it was so embarrassing that I had to look away.  ",sometimes embarrassing look away,0,imdb,13,4
The directing seems too pretentious.  ,directing seems pretentious,0,imdb,5,3
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",scenes ohsomature neighbourgirl misplace,0,imdb,9,4
